iter	Passed	Remaining
0	156	78214
1	181	45222
2	200	33214
3	225	27987
4	252	25029
5	279	23020
6	323	22753
7	349	21517
8	376	20516
9	403	19775
10	428	19064
11	454	18491
12	482	18089
13	507	17625
14	532	17229
15	558	16906
16	582	16558
17	621	16654
18	646	16355
19	669	16078
20	689	15721
21	715	15542
22	740	15357
23	766	15200
24	792	15055
25	818	14929
26	846	14822
27	883	14894
28	910	14782
29	928	14542
30	955	14454
31	982	14374
32	1007	14263
33	1033	14159
34	1059	14071
35	1084	13980
36	1110	13900
37	1136	13819
38	1156	13671
39	1181	13587
40	1207	13520
41	1233	13453
42	1252	13310
43	1280	13266
44	1306	13210
45	1332	13146
46	1357	13087
47	1384	13033
48	1409	12974
49	1435	12920
50	1462	12874
51	1486	12808
52	1512	12756
53	1538	12706
54	1552	12559
55	1565	12409
56	1590	12361
57	1617	12324
58	1657	12391
59	1671	12255
60	1697	12215
61	1716	12127
62	1742	12089
63	1770	12059
64	1783	11938
65	1809	11898
66	1833	11847
67	1858	11808
68	1884	11768
69	1909	11730
70	1934	11688
71	1977	11752
72	2001	11709
73	2028	11679
74	2053	11638
75	2079	11602
76	2105	11568
77	2130	11526
78	2158	11504
79	2185	11473
80	2204	11403
81	2230	11371
82	2249	11301
83	2274	11264
84	2300	11233
85	2327	11202
86	2340	11108
87	2367	11085
88	2393	11052
89	2418	11018
90	2443	10983
91	2469	10952
92	2503	10957
93	2523	10901
94	2565	10935
95	2591	10904
96	2617	10874
97	2642	10838
98	2668	10809
99	2694	10777
100	2719	10744
101	2746	10718
102	2788	10746
103	2829	10773
104	2855	10740
105	2883	10716
106	2897	10642
107	2923	10609
108	2950	10583
109	2971	10534
110	2997	10505
111	3023	10475
112	3047	10438
113	3074	10410
114	3100	10379
115	3119	10328
116	3146	10301
117	3172	10269
118	3196	10235
119	3210	10165
120	3234	10132
121	3259	10099
122	3284	10066
123	3303	10017
124	3328	9985
125	3355	9959
126	3380	9928
127	3405	9897
128	3430	9867
129	3456	9836
130	3479	9801
131	3504	9770
132	3530	9741
133	3555	9711
134	3581	9684
135	3606	9651
136	3632	9624
137	3656	9592
138	3682	9563
139	3707	9533
140	3734	9507
141	3760	9480
142	3777	9431
143	3801	9398
144	3827	9371
145	3851	9338
146	3875	9307
147	3888	9248
148	3912	9217
149	3925	9158
150	3950	9130
151	3974	9098
152	3998	9069
153	4023	9039
154	4045	9004
155	4069	8974
156	4088	8932
157	4112	8902
158	4139	8876
159	4163	8846
160	4187	8816
161	4206	8777
162	4230	8747
163	4249	8706
164	4273	8676
165	4301	8655
166	4321	8616
167	4340	8577
168	4368	8555
169	4392	8526
170	4418	8501
171	4445	8478
172	4471	8451
173	4496	8424
174	4521	8396
175	4545	8367
176	4570	8340
177	4595	8313
178	4622	8289
179	4649	8265
180	4674	8238
181	4688	8191
182	4713	8165
183	4740	8141
184	4766	8116
185	4791	8089
186	4815	8060
187	4840	8032
188	4866	8008
189	4892	7982
190	4916	7954
191	4941	7926
192	4968	7903
193	4993	7875
194	5018	7849
195	5045	7826
196	5071	7800
197	5096	7773
198	5122	7748
199	5147	7720
200	5171	7693
201	5195	7664
202	5219	7636
203	5243	7607
204	5270	7584
205	5294	7556
206	5321	7532
207	5345	7503
208	5370	7478
209	5396	7452
210	5421	7425
211	5449	7403
212	5473	7375
213	5497	7346
214	5521	7319
215	5545	7291
216	5568	7262
217	5592	7234
218	5617	7208
219	5643	7182
220	5668	7155
221	5692	7128
222	5719	7104
223	5747	7081
224	5773	7056
225	5799	7030
226	5823	7004
227	5848	6977
228	5874	6951
229	5899	6925
230	5925	6899
231	5950	6873
232	5975	6846
233	5998	6818
234	6022	6791
235	6050	6768
236	6075	6741
237	6101	6716
238	6126	6690
239	6150	6663
240	6191	6654
241	6216	6627
242	6242	6601
243	6267	6576
244	6292	6548
245	6317	6523
246	6341	6495
247	6364	6467
248	6389	6441
249	6414	6414
250	6440	6388
251	6466	6363
252	6491	6337
253	6516	6311
254	6541	6284
255	6569	6261
256	6596	6236
257	6622	6211
258	6651	6189
259	6678	6164
260	6705	6140
261	6731	6115
262	6756	6088
263	6781	6062
264	6807	6036
265	6831	6009
266	6856	5983
267	6881	5957
268	6905	5929
269	6932	5905
270	6956	5878
271	6981	5851
272	7007	5827
273	7031	5799
274	7056	5773
275	7082	5747
276	7109	5723
277	7136	5698
278	7160	5672
279	7184	5645
280	7208	5618
281	7235	5593
282	7260	5566
283	7285	5541
284	7313	5517
285	7340	5492
286	7364	5465
287	7390	5440
288	7415	5414
289	7438	5386
290	7463	5360
291	7493	5337
292	7517	5311
293	7541	5284
294	7567	5258
295	7592	5232
296	7618	5207
297	7651	5186
298	7684	5165
299	7711	5140
300	7737	5115
301	7762	5089
302	7795	5068
303	7817	5040
304	7841	5013
305	7866	4987
306	7892	4961
307	7916	4935
308	7941	4908
309	7966	4882
310	7993	4857
311	8017	4831
312	8041	4804
313	8066	4778
314	8090	4751
315	8114	4724
316	8139	4698
317	8162	4671
318	8187	4645
319	8216	4621
320	8240	4595
321	8265	4568
322	8288	4542
323	8312	4515
324	8339	4490
325	8364	4464
326	8389	4438
327	8416	4413
328	8445	4389
329	8469	4363
330	8493	4336
331	8517	4310
332	8553	4289
333	8578	4263
334	8603	4237
335	8629	4212
336	8660	4189
337	8685	4162
338	8712	4137
339	8737	4111
340	8763	4086
341	8789	4060
342	8814	4034
343	8839	4008
344	8865	3983
345	8889	3956
346	8914	3930
347	8943	3906
348	8968	3880
349	8993	3854
350	9021	3829
351	9047	3803
352	9074	3778
353	9099	3752
354	9124	3727
355	9149	3701
356	9175	3675
357	9199	3649
358	9224	3622
359	9248	3596
360	9272	3570
361	9297	3544
362	9324	3519
363	9351	3494
364	9376	3467
365	9399	3441
366	9423	3415
367	9448	3389
368	9474	3363
369	9499	3337
370	9523	3311
371	9547	3285
372	9573	3259
373	9599	3233
374	9623	3207
375	9648	3181
376	9673	3155
377	9697	3130
378	9722	3103
379	9745	3077
380	9771	3051
381	9796	3025
382	9819	2999
383	9843	2973
384	9868	2947
385	9892	2921
386	9915	2895
387	9941	2869
388	9967	2844
389	9991	2818
390	10016	2792
391	10040	2766
392	10064	2740
393	10087	2713
394	10112	2688
395	10136	2662
396	10161	2636
397	10184	2610
398	10209	2584
399	10234	2558
400	10260	2533
401	10285	2507
402	10309	2481
403	10334	2455
404	10358	2429
405	10383	2403
406	10408	2378
407	10434	2352
408	10460	2327
409	10486	2301
410	10509	2275
411	10533	2249
412	10559	2224
413	10584	2198
414	10610	2173
415	10666	2153
416	10693	2128
417	10720	2102
418	10744	2077
419	10769	2051
420	10794	2025
421	10819	1999
422	10843	1973
423	10870	1948
424	10896	1922
425	10923	1897
426	10948	1871
427	10972	1845
428	10997	1820
429	11022	1794
430	11049	1768
431	11073	1743
432	11099	1717
433	11124	1691
434	11150	1666
435	11176	1640
436	11202	1615
437	11228	1589
438	11255	1563
439	11281	1538
440	11306	1512
441	11331	1486
442	11355	1461
443	11380	1435
444	11409	1410
445	11435	1384
446	11460	1358
447	11485	1333
448	11509	1307
449	11551	1283
450	11576	1257
451	11599	1231
452	11623	1205
453	11651	1180
454	11675	1154
455	11699	1128
456	11724	1103
457	11749	1077
458	11774	1051
459	11799	1026
460	11823	1000
461	11848	974
462	11873	948
463	11899	923
464	11925	897
465	11949	871
466	11974	846
467	11999	820
468	12022	794
469	12047	769
470	12073	743
471	12097	717
472	12122	691
473	12146	666
474	12171	640
475	12196	614
476	12220	589
477	12244	563
478	12270	537
479	12294	512
480	12321	486
481	12355	461
482	12380	435
483	12406	410
484	12431	384
485	12459	358
486	12485	333
487	12510	307
488	12536	282
489	12562	256
490	12588	230
491	12612	205
492	12638	179
493	12662	153
494	12690	128
495	12717	102
496	12741	76
497	12767	51
498	12793	25
499	12820	0
